copy_cossim,cossim,encoder,horizon_step,horizon_trained,model,n_windows,seed
0.942461,0.933961,clip_b32,2,8,mlp_flat_actseq,4819,1
0.931989,0.924248,clip_b32,3,8,mlp_flat_actseq,4819,1
0.92405,0.917685,clip_b32,4,8,mlp_flat_actseq,4819,1
0.91774,0.913079,clip_b32,5,8,mlp_flat_actseq,4819,1
0.911963,0.907975,clip_b32,6,8,mlp_flat_actseq,4819,1
0.906693,0.903892,clip_b32,7,8,mlp_flat_actseq,4819,1
0.902611,0.900148,clip_b32,8,8,mlp_flat_actseq,4819,1
0.957319,0.909047,clip_b32,1,8,dit_x0_single,4819,1
0.942461,0.907602,clip_b32,2,8,dit_x0_single,4819,1
0.931989,0.904688,clip_b32,3,8,dit_x0_single,4819,1
0.92405,0.903205,clip_b32,4,8,dit_x0_single,4819,1
0.91774,0.901803,clip_b32,5,8,dit_x0_single,4819,1
0.911963,0.899662,clip_b32,6,8,dit_x0_single,4819,1
0.906693,0.897566,clip_b32,7,8,dit_x0_single,4819,1
0.902611,0.896253,clip_b32,8,8,dit_x0_single,4819,1
0.95694,0.955884,clip_b32,1,8,mlp_residual_single,4819,1
0.941961,0.94038,clip_b32,2,8,mlp_residual_single,4819,1
0.93141,0.930299,clip_b32,3,8,mlp_residual_single,4819,1
0.92344,0.923137,clip_b32,4,8,mlp_residual_single,4819,1
0.917107,0.917914,clip_b32,5,8,mlp_residual_single,4819,1
0.911322,0.913126,clip_b32,6,8,mlp_residual_single,4819,1
0.906019,0.909285,clip_b32,7,8,mlp_residual_single,4819,1
0.90192,0.906309,clip_b32,8,8,mlp_residual_single,4819,1
0.95823,0.920073,clip_b32,1,8,dit_x0_actseq,4819,2
0.943666,0.916182,clip_b32,2,8,dit_x0_actseq,4819,2
0.93346,0.911992,clip_b32,3,8,dit_x0_actseq,4819,2
0.925704,0.909137,clip_b32,4,8,dit_x0_actseq,4819,2
0.919492,0.906208,clip_b32,5,8,dit_x0_actseq,4819,2
