encoder,seed,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows
vjepa2_rep1,2,Q4 (easiest),4,0.984061,0.982241,0.986799,0.993515,-0.002739,0.001819,-0.009454,1355
vjepa2_rep64,0,Q1 (hardest),1,0.977452,0.98259,0.988374,0.977674,-0.010922,-0.005138,-0.000222,1355
vjepa2_rep64,0,Q2,1,0.985462,0.987928,0.994029,0.993255,-0.008567,-0.002466,-0.007793,1355
vjepa2_rep64,0,Q3,1,0.988115,0.989813,0.995521,0.996055,-0.007406,-0.001698,-0.00794,1354
vjepa2_rep64,0,Q4 (easiest),1,0.988866,0.990536,0.99686,0.998057,-0.007994,-0.00167,-0.009191,1355
vjepa2_rep64,0,Q1 (hardest),2,0.972521,0.975712,0.978372,0.95907,-0.005851,-0.003191,0.01345,1355
vjepa2_rep64,0,Q2,2,0.983865,0.985262,0.988208,0.986316,-0.004342,-0.001397,-0.002451,1355
vjepa2_rep64,0,Q3,2,0.987139,0.98735,0.991032,0.992091,-0.003893,-0.000211,-0.004952,1354
vjepa2_rep64,0,Q4 (easiest),2,0.988567,0.988446,0.994188,0.996158,-0.005621,0.000121,-0.007591,1355
vjepa2_rep64,0,Q1 (hardest),3,0.963846,0.967849,0.968293,0.941329,-0.004448,-0.004003,0.022517,1355
vjepa2_rep64,0,Q2,3,0.981184,0.98156,0.983216,0.980276,-0.002032,-0.000376,0.000908,1355
vjepa2_rep64,0,Q3,3,0.985783,0.984872,0.987473,0.988228,-0.00169,0.000911,-0.002445,1354
vjepa2_rep64,0,Q4 (easiest),3,0.98777,0.985225,0.992046,0.994446,-0.004276,0.002545,-0.006677,1355
vjepa2_rep64,0,Q1 (hardest),4,0.954114,0.960541,0.959508,0.926486,-0.005394,-0.006427,0.027627,1355
vjepa2_rep64,0,Q2,4,0.978015,0.977708,0.978946,0.975126,-0.000931,0.000307,0.002889,1355
vjepa2_rep64,0,Q3,4,0.984474,0.982777,0.984667,0.985121,-0.000193,0.001697,-0.000647,1354
vjepa2_rep64,0,Q4 (easiest),4,0.987034,0.982316,0.990278,0.993169,-0.003244,0.004718,-0.006135,1355
vjepa2_rep64,1,Q1 (hardest),1,0.977818,0.982784,0.988276,0.978773,-0.010458,-0.004965,-0.000954,1355
vjepa2_rep64,1,Q2,1,0.986063,0.987849,0.993986,0.993498,-0.007922,-0.001786,-0.007435,1355
vjepa2_rep64,1,Q3,1,0.98823,0.989698,0.995361,0.996249,-0.007131,-0.001468,-0.008019,1355
vjepa2_rep64,1,Q4 (easiest),1,0.990024,0.990357,0.996748,0.998154,-0.006723,-0.000332,-0.00813,1354
vjepa2_rep64,1,Q1 (hardest),2,0.973143,0.975723,0.978752,0.961,-0.005609,-0.00258,0.012143,1355
vjepa2_rep64,1,Q2,2,0.984644,0.985038,0.988258,0.986934,-0.003614,-0.000393,-0.002289,1355
vjepa2_rep64,1,Q3,2,0.987597,0.98771,0.991059,0.992479,-0.003461,-0.000112,-0.004882,1354
vjepa2_rep64,1,Q4 (easiest),2,0.989516,0.988651,0.994242,0.996351,-0.004725,0.000865,-0.006835,1355
vjepa2_rep64,1,Q1 (hardest),3,0.964698,0.96787,0.968909,0.943788,-0.00421,-0.003172,0.020911,1355
vjepa2_rep64,1,Q2,3,0.982034,0.981043,0.983318,0.981153,-0.001283,0.000992,0.000881,1355
vjepa2_rep64,1,Q3,3,0.986655,0.985326,0.987548,0.988793,-0.000893,0.001329,-0.002139,1354
vjepa2_rep64,1,Q4 (easiest),3,0.988865,0.985919,0.992103,0.9947,-0.003238,0.002945,-0.005836,1355
vjepa2_rep64,1,Q1 (hardest),4,0.954945,0.960409,0.960571,0.929146,-0.005626,-0.005465,0.025799,1355
vjepa2_rep64,1,Q2,4,0.979029,0.977392,0.979162,0.976267,-0.000133,0.001638,0.002762,1355
vjepa2_rep64,1,Q3,4,0.985526,0.98312,0.984881,0.985858,0.000645,0.002407,-0.000332,1354
vjepa2_rep64,1,Q4 (easiest),4,0.988396,0.983658,0.990468,0.993466,-0.002071,0.004738,-0.00507,1355
